name,x,y,z
mg117_LAT1,-24.0,8.0,-36.0
mg117_LAT10,-55.0,-11.0,-31.0
mg117_LAT11,-56.0,-10.0,-29.0
mg117_LAT12,-56.0,-10.0,-29.0
mg117_LAT13,-58.0,-11.0,-29.0
mg117_LAT14,-57.0,-12.0,-29.0
mg117_LAT2,-24.0,8.0,-36.0
mg117_LAT3,-21.0,13.0,-37.0
mg117_LAT4,-24.0,13.0,-36.0
mg117_LAT5,-23.0,14.0,-36.0
mg117_LAT6,-24.0,15.0,-38.0
mg117_LAT7,-24.0,14.0,-36.0
mg117_LAT8,-24.0,15.0,-37.0
mg117_LAT9,-25.0,15.0,-38.0
mg117_LMF1,-10.0,46.0,21.0
mg117_LMF10,-37.0,59.0,-1.0
mg117_LMF11,-37.0,59.0,0.0
mg117_LMF12,-35.0,60.0,2.0
mg117_LMF2,-14.0,50.0,18.0
mg117_LMF3,-17.0,48.0,22.0
mg117_LMF4,-20.0,47.0,20.0
mg117_LMF5,-25.0,46.0,18.0
mg117_LMF6,-29.0,48.0,13.0
mg117_LMF7,-27.0,53.0,13.0
mg117_LMF8,-32.0,60.0,1.0
mg117_LMF9,-35.0,59.0,0.0
mg117_LMT1,-27.0,9.0,-35.0
mg117_LMT10,-53.0,-6.0,-27.0
mg117_LMT11,-54.0,-6.0,-26.0
mg117_LMT12,-52.0,-6.0,-26.0
mg117_LMT2,-26.0,9.0,-35.0
mg117_LMT3,-27.0,9.0,-35.0
mg117_LMT4,-29.0,-12.0,-34.0
mg117_LMT5,-47.0,-19.0,-33.0
mg117_LMT6,-58.0,-12.0,-29.0
mg117_LMT7,-58.0,-6.0,-28.0
mg117_LMT8,-52.0,-6.0,-27.0
mg117_LMT9,-56.0,-9.0,-27.0
mg117_LOF1,-7.0,57.0,-31.0
mg117_LOF10,-44.0,52.0,-12.0
mg117_LOF11,-42.0,49.0,-17.0
mg117_LOF12,-41.0,49.0,-20.0
mg117_LOF13,-41.0,49.0,-19.0
mg117_LOF14,-42.0,48.0,-17.0
mg117_LOF2,-22.0,54.0,-33.0
mg117_LOF3,-21.0,53.0,-36.0
mg117_LOF4,-25.0,53.0,-36.0
mg117_LOF5,-26.0,51.0,-34.0
mg117_LOF6,-27.0,51.0,-34.0
mg117_LOF7,-31.0,49.0,-30.0
mg117_LOF8,-36.0,49.0,-25.0
mg117_LOF9,-44.0,50.0,-11.0
mg117_LVF1,-11.0,28.0,-29.0
mg117_LVF10,-36.0,62.0,-3.0
mg117_LVF11,-35.0,61.0,-1.0
mg117_LVF12,-32.0,59.0,2.0
mg117_LVF13,-32.0,59.0,1.0
mg117_LVF14,-32.0,61.0,2.0
mg117_LVF15,-29.0,58.0,2.0
mg117_LVF16,-23.0,56.0,12.0
mg117_LVF2,-16.0,25.0,-22.0
mg117_LVF3,-16.0,24.0,-15.0
mg117_LVF4,-20.0,23.0,-13.0
mg117_LVF5,-15.0,24.0,-12.0
mg117_LVF6,-15.0,24.0,-12.0
mg117_LVF7,-16.0,25.0,-12.0
mg117_LVF8,-17.0,27.0,-8.0
mg117_LVF9,-17.0,31.0,-9.0
mg117_RAP1,42.0,-29.0,22.0
mg117_RAP10,44.0,-9.0,23.0
mg117_RAP11,46.0,-11.0,23.0
mg117_RAP12,42.0,-9.0,23.0
mg117_RAP2,46.0,-26.0,19.0
mg117_RAP3,47.0,-26.0,18.0
mg117_RAP4,48.0,-20.0,17.0
mg117_RAP5,48.0,-16.0,20.0
mg117_RAP6,47.0,-15.0,22.0
mg117_RAP7,45.0,-14.0,20.0
mg117_RAP8,47.0,-9.0,21.0
mg117_RAP9,47.0,-10.0,21.0
mg117_RAT1,28.0,16.0,-37.0
mg117_RAT10,55.0,-13.0,-32.0
mg117_RAT11,56.0,-14.0,-30.0
mg117_RAT12,57.0,-11.0,-30.0
mg117_RAT2,25.0,18.0,-38.0
mg117_RAT3,30.0,18.0,-36.0
mg117_RAT4,24.0,17.0,-36.0
mg117_RAT5,28.0,16.0,-39.0
mg117_RAT6,46.0,-2.0,-36.0
mg117_RAT7,54.0,-12.0,-35.0
mg117_RAT8,56.0,-9.0,-33.0
mg117_RAT9,56.0,-10.0,-32.0
mg117_RMF1,9.0,46.0,12.0
mg117_RMF10,34.0,32.0,24.0
mg117_RMF11,35.0,36.0,21.0
mg117_RMF12,36.0,39.0,17.0
mg117_RMF2,11.0,46.0,13.0
mg117_RMF3,13.0,47.0,12.0
mg117_RMF4,14.0,50.0,17.0
mg117_RMF5,18.0,50.0,16.0
mg117_RMF6,19.0,52.0,19.0
mg117_RMF7,18.0,50.0,16.0
mg117_RMF8,26.0,41.0,20.0
mg117_RMF9,31.0,34.0,23.0
mg117_RMP1,10.0,-48.0,15.0
mg117_RMP10,23.0,-46.0,36.0
mg117_RMP11,25.0,-44.0,34.0
mg117_RMP12,29.0,-35.0,34.0
mg117_RMP13,32.0,-31.0,32.0
mg117_RMP14,27.0,-23.0,32.0
mg117_RMP2,17.0,-40.0,27.0
mg117_RMP3,27.0,-41.0,35.0
mg117_RMP4,28.0,-41.0,33.0
mg117_RMP5,28.0,-41.0,28.0
mg117_RMP6,28.0,-43.0,30.0
mg117_RMP7,28.0,-43.0,30.0
mg117_RMP8,26.0,-41.0,31.0
mg117_RMP9,27.0,-41.0,31.0
mg117_RMT1,29.0,0.0,-32.0
mg117_RMT10,55.0,-13.0,-36.0
mg117_RMT11,56.0,-11.0,-35.0
mg117_RMT12,54.0,-12.0,-36.0
mg117_RMT13,55.0,-11.0,-35.0
mg117_RMT14,55.0,-15.0,-35.0
mg117_RMT2,29.0,-2.0,-31.0
mg117_RMT3,28.0,-2.0,-33.0
mg117_RMT4,29.0,-2.0,-36.0
mg117_RMT5,27.0,-4.0,-33.0
mg117_RMT6,40.0,-24.0,-40.0
mg117_RMT7,40.0,-20.0,-36.0
mg117_RMT8,50.0,-15.0,-38.0
mg117_RMT9,54.0,-13.0,-37.0
mg117_ROF1,7.0,52.0,-34.0
mg117_ROF10,46.0,46.0,-23.0
mg117_ROF11,48.0,46.0,-20.0
mg117_ROF12,50.0,48.0,-16.0
mg117_ROF13,50.0,48.0,-16.0
mg117_ROF14,50.0,49.0,-14.0
mg117_ROF15,49.0,49.0,-12.0
mg117_ROF16,49.0,49.0,-9.0
mg117_ROF2,7.0,53.0,-34.0
mg117_ROF3,6.0,53.0,-33.0
mg117_ROF4,13.0,52.0,-31.0
mg117_ROF5,18.0,50.0,-33.0
mg117_ROF6,25.0,51.0,-35.0
mg117_ROF7,29.0,50.0,-36.0
mg117_ROF8,35.0,53.0,-36.0
mg117_ROF9,40.0,46.0,-29.0
mg117_RPT1,25.0,-10.0,-34.0
mg117_RPT10,53.0,-12.0,-38.0
mg117_RPT11,53.0,-11.0,-39.0
mg117_RPT12,54.0,-13.0,-38.0
mg117_RPT13,53.0,-12.0,-39.0
mg117_RPT14,54.0,-13.0,-38.0
mg117_RPT2,30.0,-10.0,-34.0
mg117_RPT3,27.0,-15.0,-35.0
mg117_RPT4,29.0,-18.0,-35.0
mg117_RPT5,33.0,-20.0,-34.0
mg117_RPT6,39.0,-26.0,-39.0
mg117_RPT7,48.0,-18.0,-41.0
mg117_RPT8,50.0,-14.0,-40.0
mg117_RPT9,51.0,-15.0,-40.0
mg117_RVF1,19.0,24.0,-22.0
mg117_RVF10,15.0,28.0,-9.0
mg117_RVF11,19.0,55.0,10.0
mg117_RVF12,20.0,53.0,11.0
mg117_RVF13,20.0,53.0,12.0
mg117_RVF14,24.0,55.0,9.0
mg117_RVF15,20.0,57.0,9.0
mg117_RVF16,23.0,54.0,10.0
mg117_RVF2,25.0,24.0,-20.0
mg117_RVF3,27.0,24.0,-20.0
mg117_RVF4,21.0,24.0,-16.0
mg117_RVF5,15.0,26.0,-12.0
mg117_RVF6,17.0,26.0,-11.0
mg117_RVF7,16.0,27.0,-12.0
mg117_RVF8,17.0,26.0,-11.0
mg117_RVF9,16.0,27.0,-10.0
